03.08.2023 | What did the Holy Spirit teach me today? | Be patient. The Lord is mixing together lots of hard things, but it's all going to come together to make something glorious in the end.
03.08.2023 | How was I able to look beyond myself and serve someone else today? | I went out to Lowes early this morning to pick up some things for work, and decided to stop and get breakfast for Hydee. :)
03.08.2023 | In what way can I resolve to do better tomorrow? | I can be more diligent in my scripture study. I can remember the Savior more often.
03.08.2023 | What did the Holy Spirit teach me today? | Temptations are just thoughts in your head. Even if they come from Satan. And no thought can dictate your actions unless you allow it to.
